symbol
SPY
QQQ
IWM
DIA
XLK
XLF
XLE
XLV
XLY
XLP
XLI
XLB
XLU
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AMD
AVGO
ORCL
INTC
CRM
NOW
ADBE
NFLX
UBER
PLTR
COIN
SQ
PYPL
SHOP
SNOW
ARM
SMCI
MU
QCOM
TXN
PANW
CRWD
NET
DDOG
ZS
JPM
BAC
WFC
GS
BRK-B
UNH
